53,45
54,121
65,62
17,57
22,58
36,40
8,131
47,94
38,123
18,104
19,53
62,49
49,95
40,28
42,89
75,16
81,86
51,26
80,84
29,35
72,83
73,82
79,85
55,38
50,46
52,31
15,103
12,115
11,102
10,101
14,24
13,21
78,36
45,92
16,42
4,126
56,122
23,107
9,14
7,129
35,39
34,33
33,111
77,74
25,117
37,56
76,72
63,22
83,87
48,96
74,51
69,69
26,47
58,60
82,88
41,50
66,65
27,118
57,30
59,108
67,64
64,63
21,106
24,59
70,70
61,99
43,18
44,90
46,91
28,116
5,127
68,32
1,133
39,54
6,125
32,78
31,79
30,77
71,80
2,20
20,105
3,13
60,100
